categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Arroz,53908,Arroz DOS HERMANOS Largo Fino 00000 Paq 1kgm,16.05,Precio por 1 Kilogramo : $16.05
Alimentos Secos,Arroz,247497,Arroz DOS HERMANOS Largo Fino 00000 Paq 500 Grm,8.45,Precio por 1 Kilogramo : $16.90
Alimentos Secos,Arroz,74501,Arroz DOS HERMANOS Parboil Bsa 1 Kgm,20.35,Precio por 1 Kilogramo : $20.35
Alimentos Secos,Arroz,247498,Arroz DOS HERMANOS Parboil Paq 500 Grm,10.59,Precio por 1 Kilogramo : $21.18
Alimentos Secos,Arroz,264918,Arroz GALLO Carnaroli Est 500 Grm,34.25,Precio por 1 Kilogramo : $68.50
Alimentos Secos,Arroz,282095,Arroz GALLO Doble Carolina Bsa 500 Grm,25.95,Precio por 1 Kilo : $51.90
Alimentos Secos,Arroz,264991,Arroz GALLO Doble Carolina Est 1 Kgm,50.29,Precio por 1 Kilogramo escurrido: $50.29
Alimentos Secos,Mermeladas Y Dulces,215821,Alimento A Base De Miel LAS PRADERAS Pot 250 Grm,22.49,Precio por 1 Kilo : $89.96
Alimentos Secos,Mermeladas Y Dulces,224705,Almidon De Maiz KAPAC 500 Grm Libre De Gluten,34.25,Precio por 1 Kilo : $68.50
Alimentos Secos,Mermeladas Y Dulces,252863,Confitura De Durazno EL BOLSON Fra 450 Grm,97.39,Precio por 1 Kilo : $216.42
Alimentos Secos,Mermeladas Y Dulces,204750,Confitura R.Mosqueta Patag.Berri Fra 260 Grm,81.35,Precio por 1 Kilo : $312.88
Alimentos Secos,Mermeladas Y Dulces,287350,Confitura SAN GIORGIO Tomate Con Menta Fra 220 Grm,128.39,Precio por 1 Kilo : $583.59
Alimentos Secos,Mermeladas Y Dulces,242493,Dulce Confitura Frutos Del Bosque EL BOLSON Fra 450 Grm,128.39,Precio por 1 Kilo : $285.31
Alimentos Secos,Mermeladas Y Dulces,39531,Dulce De Frambuesa CABAÑA MICO Fra 454 Grm,85.59,Precio por 1 Kilo : $188.52
Alimentos Secos,Mermeladas Y Dulces,58948,Dulce De Frambuesa Diet DULCE MASSEUBE Fra 260 Grm,89.89,Precio por 1 Kilo : $345.73
Alimentos Secos,Mermeladas Y Dulces,269005,Dulce De Frambuesa Patagonia Berries Fra 350 Grm,90.95,Precio por 1 Kilo : $259.85
